plot_id,tree_no,tree_id,species_vernacular_name,tree_girth,tree_dbh,tree_ba,tree_height_top,species_id,common_name,species_scientific_name,tree_height_model,tree_height_error,tree_height_sim
PSL01,8,PSL01_08,Ai-ruu,122,38.85350318,0.11341176,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.5405184557709,1.0856482023321108,24.471073341141445
PSL01,9,PSL01_09,Ai-ruu,115,36.62420382,0.17349486,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,21.86732385937295,1.0694411479422787,23.385815930593388
PSL01,10,PSL01_010,Ai-ruu,122,38.85350318,0.118563569,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.5405184557709,0.9990367881453431,22.518807161184192
PSL01,11,PSL01_011,Samtuku,135,42.99363057,0.145177441,7,73,White siris,Albezia procera,23.729526785457203,0.9663078539309325,22.93002810285173
PSL01,12,PSL01_012,Samtuku,141,44.9044586,0.158368873,5,73,White siris,Albezia procera,24.254038441361935,1.4586388515860773,35.37788277843274
PSL01,13,PSL01_013,Ai-ruu,125,39.8089172,0.124466256,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.821686809797708,1.0992756452372792,25.08732449324348
PSL01,14,PSL01_014,Ai-ruu,130,41.40127389,0.134622703,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.281084316705165,0.8696991511549882,20.24753926820619
PSL02,1,PSL02_01,Samtuku,107,34.07643312,0.091200907,8,73,White siris,Albezia procera,20.917718134772134,1.1679345522290072,24.430525763387678
PSL02,2,PSL02_02,Samtuku,107,34.07643312,0.091200907,10,73,White siris,Albezia procera,20.917718134772134,1.0844379024305095,22.683966377704923
PSL02,3,PSL02_03,Samtuku,131,41.71974522,0.136701787,10,73,White siris,Albezia procera,23.206835226627096,1.0935089131988853,25.376881167454602
PSL02,4,PSL02_04,Ai-ruu,97,30.89171975,0.074950592,10,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.870626276487513,0.8235271725926363,16.364000675120707
PSL02,5,PSL02_05,Ai-ruu,100,31.84713376,0.079658404,8,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.191358417666954,1.3176402528522384,26.60494661088486
PSL02,6,PSL02_06,Ai-ruu,98,31.21019108,0.076503931,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.978193855846047,0.9649881446962507,19.27872022333491
PSL02,7,PSL02_07,Ai-ruu,131,41.71974522,0.136701787,13,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.206835226627096,0.6377537742455801,14.800246754076712
PSL02,8,PSL02_08,Samtuku,96,30.57324841,0.073413185,5,73,White siris,Albezia procera,19.762388605468555,0.7308710812217267,14.443758327602735
PSL02,9,PSL02_09,Ai-ruu,121,38.53503185,0.116627869,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.287574336821045,1.2187763661654414,27.1635688608729
PSL02,10,PSL02_010,Ai-ruu,119,37.89808917,0.112804266,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.098096043932593,0.8370523801156409,18.497263889597804
PSL02,11,PSL02_011,Samtuku,97,30.89171975,0.074950592,6,73,White siris,Albezia procera,19.870626276487513,1.0416807312688499,20.698848510461538
PSL02,12,PSL02_012,Ai-ruu,99,31.52866242,0.078073202,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.085101325848342,1.022132317746358,20.529631170359814
PSL03,1,PSL03_01,Ai-ruu,130,41.40127389,0.134622703,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.116928769692038,0.6066281311316468,14.02337929706168
PSL03,2,PSL03_02,Ai-ruu,106,33.75796178,0.089504183,4,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.815759754272662,1.0632861352901555,22.133108742248936
PSL03,3,PSL03_03,Ai-ruu,118,37.57961783,0.110916362,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.002615970122957,0.7986552119464801,17.57250392099556
PSL03,4,PSL03_04,Ai-ruu,112,35.66878981,0.099923502,4,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,21.418961118889538,1.2527559695765143,26.832731403816123
PSL03,5,PSL03_05,Ai-ruu,269,85.66878981,0.576416177,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,32.82303311537338,0.9285400941286022,30.477502258535022
PSL03,6,PSL03_06,Ai-ruu,125,39.8089172,0.124466256,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.66077048686955,0.7861531294058023,17.81483563299914
PSL03,7,PSL03_07,Ai-ruu,140,44.58598726,0.156130472,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.997207902345746,1.1938921045363369,28.650077045527578
PSL03,8,PSL03_08,Samtuku,97,30.89171975,0.074950592,4,73,White siris,Albezia procera,19.870626276487513,1.6619553130810965,33.02409291445727
PSL03,9,PSL03_09,Ai-ruu,211,67.19745223,0.35464718,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,29.31361986817806,0.8964933460042652,26.279465159120054
PSL03,10,PSL03_010,Samtuku,95,30.25477707,0.07189171,4,73,White siris,Albezia procera,19.65347062118556,1.1465233732653657,22.533163432973428
PSL03,11,PSL03_011,Ai-ruu,100,31.84713376,0.079658404,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.191358417666954,1.238899327258863,25.01506036009017
PSL03,12,PSL03_012,Ai-ruu,99,31.52866242,0.078073202,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,20.085101325848342,1.5990317358253865,32.11671443730005
PSL03,13,PSL03_013,Samtuku,99,31.52866242,0.078073202,5,73,White siris,Albezia procera,20.085101325848342,1.4323866410017927,28.76963082231256
PSL03,14,PSL03_014,Ai-ruu,125,39.8089172,0.124466256,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.66077048686955,1.1462717772127224,25.97540165899357
PSL03,15,PSL03_015,Ai-ruu,130,41.40127389,0.134622703,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.116928769692038,0.6410618088132828,14.819380171306593
PSL03,16,PSL03_016,Ai-ruu,125,39.8089172,0.124466256,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,22.66077048686955,0.7446287994339984,16.873862321887056
PSL03,17,PSL03_017,Ai-ruu,140,44.58598726,0.156130472,8,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,23.997207902345746,0.837830382394648,20.105589873226204
PSL04,1,PSL04_01,Ai-kakeu,200,63.69426752,0.318633616,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,28.571275124006622,0.7285961877161041,20.816922133539183
PSL04,2,PSL04_02,Ha'as,112,35.66878981,0.099923502,2,56,Mango tree,Mangifera Sp.,21.41508470298005,1.3152969250526894,28.167195059572546
PSL04,3,PSL04_03,Ai-kakeu,93,29.61783439,0.068896554,5,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,19.430034417188473,1.0582541503127003,20.56191456270831
PSL04,4,PSL04_04,Ha'as,111,35.35031847,0.09814712,1,56,Mango tree,Mangifera Sp.,21.315968452875026,1.2644724624559718,26.953455119240694
PSL04,5,PSL04_05,Ai-kakeu,301,95.85987261,0.721713106,6,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,34.53341747105472,0.6467155350119171,22.33329755558304
PSL04,6,PSL04_06,Ai-kakeu,103,32.80254777,0.084509601,7,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,20.50261007275715,0.9401862622714945,19.27627233111544
PSL04,7,PSL04_07,Ai-kakeu,102,32.48407643,0.082876604,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,20.398266886512058,0.854340682606612,17.427069255814562
PSL04,8,PSL04_08,ha'as,231,73.56687898,0.42506521,4,NA,NA,NA,30.584913432113847,0.9548647201495927,29.204454805154906
PSL04,9,PSL04_09,Ai-kakeu,98,31.21019108,0.076503931,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,19.974578190824957,0.8360896063924981,16.700537217423015
PSL04,10,PSL04_010,Samtuku,99,31.52866242,0.078073202,5,73,White siris,Albezia procera,20.081466312651806,0.8376753746891235,16.821749817757613
PSL04,11,PSL04_011,Ai-kakeu,106,33.75796178,0.089504183,5,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,20.81199250609327,0.9290298678259208,19.334962647129885
PSL04,12,PSL04_012,Kulu,98,31.21019108,0.076503931,10,65,Bread fruit,Artocarpus communis,19.974578190824957,0.9821080528193554,19.61719409287906
PSL04,13,PSL04_013,Avokat,106,33.75796178,0.089504183,8,45,Avocado tree,Persea americana,20.81199250609327,0.9602760209858826,19.98525735253925
PSL04,14,PSL04_014,Samtuku,118,37.57961783,0.110916362,8,73,White siris,Albezia procera,21.998633924022606,0.7459859047534385,16.410670831151688
PSL04,15,PSL04_015,Ai-kakeu,123,39.17197452,0.120515199,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,22.471049412570096,1.0101325381506496,22.698738178028094
PSL04,16,PSL04_016,Ai-kakeu,110,35.03184713,0.096386669,8,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,21.216302566487233,1.4098077489172423,29.910907761606474
PSL05,1,PSL05_01,Mahoni,100,31.84713376,0.079658404,8,69,Mahagony,Swietenia macrophylla,20.18770417400079,1.0726502987488429,21.654346913295207
PSL05,2,PSL05_02,Mahoni,93,29.61783439,0.068896554,4,69,Mahagony,Swietenia macrophylla,19.430034417188473,1.1033673226215364,21.43846505333755
PSL05,3,PSL05_03,Samtuku,93,29.61783439,0.068896554,5,73,White siris,Albezia procera,19.430034417188473,1.2149520576976987,23.60656029630024
PSL05,4,PSL05_04,Mahoni,99,31.52866242,0.078073202,9,69,Mahagony,Swietenia macrophylla,20.081466312651806,1.226505671177284,24.63003231802302
PSL05,5,PSL05_05,Mahoni,97,30.89171975,0.074950592,6,69,Mahagony,Swietenia macrophylla,19.867030079108837,1.0905861038613625,21.6667069292718
PSL05,6,PSL05_06,Ai-kakeu,102,32.48407643,0.082876604,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,20.398266886512058,0.95218143003009,19.422850934134484
PSL05,7,PSL05_07,ha'as,231,73.56687898,0.42506521,4,NA,NA,NA,30.584913432113847,0.7636092653942719,23.354923278043852
PSL05,8,PSL05_08,Ai-kakeu,98,31.21019108,0.076503931,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,19.974578190824957,0.9711334927208379,19.397981884081318
PSL05,9,PSL05_09,Samtuku,99,31.52866242,0.078073202,5,73,White siris,Albezia procera,20.081466312651806,0.9891948904612714,19.864483869445316
PMT03,100,PMT03_01sa,Ai Teka,90,28.66242038,0.064523307,10.5,34,Teak tree,Tectona grandis,15.117604713957304,1.3514872981336095,20.431250749118075
PMT03,200,PMT03_02sa,Ai Teka,75,23.88535032,0.044807852,10.5,34,Teak tree,Tectona grandis,13.705092423745464,0.9733765405341166,13.34021545112569
PMT03,300,PMT03_03sa,Ai Teka,74,23.56687898,0.043620942,10,34,Teak tree,Tectona grandis,13.60525749720196,0.8446160877775457,11.491219360492842
PMT03,400,PMT03_04sa,Ai Teka,54,17.19745223,0.023228391,10,34,Teak tree,Tectona grandis,11.419478679737223,0.8222707035947024,9.38990276867223
PMT03,500,PMT03_05sa,Ai Teka,60,19.10828025,0.028677025,10,34,Teak tree,Tectona grandis,12.117319367194211,0.8884063573127873,10.765103559404698
PMT03,600,PMT03_06sa,Ai Teka,65,20.70063694,0.033655676,15,34,Teak tree,Tectona grandis,12.669444852420945,1.4271779292881983,18.081552069709147
PMT04,100,PMT04_01sa,Ai Teka,91,28.98089172,0.065965124,7,34,Teak tree,Tectona grandis,15.365354903760357,0.9504206883417763,14.603551184247607
PMT04,200,PMT04_02sa,Ai Teka,81,25.79617834,0.052263879,5,34,Teak tree,Tectona grandis,14.437552897364604,0.6882331185430195,9.936402054683048
PMT04,300,PMT04_03sa,Ai Teka,65,20.70063694,0.033655676,9,34,Teak tree,Tectona grandis,12.801676738879596,1.1675749375062752,14.946916918372882
PMT04,400,PMT04_04sa,Ai Teka,76,24.20382166,0.046010694,3.5,34,Teak tree,Tectona grandis,13.948232240558179,1.1641547364336826,16.2379006277228
PMT04,500,PMT04_05sa,Ai Teka,74,23.56687898,0.043620942,15.5,34,Teak tree,Tectona grandis,13.747256526012361,1.2878481715889927,17.704379181389868
PMT05,100,PMT05_01sa,Ai Teka,73,23.24840764,0.042449963,10,34,Teak tree,Tectona grandis,13.645586362561339,1.0730330012378473,14.642164488269433
PMT05,200,PMT05_02sa,Ai Teka,83,26.43312102,0.054876675,7,34,Teak tree,Tectona grandis,14.628315115552704,1.0974147590539334,16.05332890789928
PMT05,300,PMT05_03sa,Ai Teka,73,23.24840764,0.042449963,5,34,Teak tree,Tectona grandis,13.645586362561339,1.05838197976382,14.442242709445855
PMT05,400,PMT05_04sa,Ai Teka,62,19.74522293,0.03062069,5,34,Teak tree,Tectona grandis,12.469985060213647,1.2931380398023002,16.125412037128644
PMT06,100,PMT06_01sa,Ai Fulis,73,23.24840764,0.042449963,5,8,NA,NA,13.645586362561339,0.9282186755441922,12.666088100480577
PSL01,100,PSL01_01sa,Ai-ruu,64,20.38216561,0.11341176,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,15.981181005046306,0.7010040109316726,11.20287198396252
PSL01,200,PSL01_02sa,Ai-ruu,84,26.75159236,0.17349486,2,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,18.53798124729914,0.6622190884027341,12.276205042413416
PSL01,300,PSL01_03sa,Ai-ruu,78,24.84076433,0.11341176,2.5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.812049255515355,0.893274698490676,15.911052928221547
PSL01,400,PSL01_04sa,Samtuku,70,22.29299363,0.039032618,3,73,White siris,Albezia procera,16.791517313311207,0.8043898374251585,13.506925881776136
PSL02,100,PSL02_01sa,Ai-ruu,89,28.34394904,0.063097422,9,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,18.985069804915153,1.6802400694416084,31.89947500736442
PSL02,200,PSL02_02sa,Ai-ruu,77,24.52229299,0.047229468,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.563197084796414,0.7764008677718669,13.63608145748426
PSL02,300,PSL02_03sa,Ai-ruu,77,24.52229299,0.047229468,7,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.563197084796414,0.7009523110082212,12.3109635852809
PSL02,400,PSL02_04sa,Ai-ruu,89,28.34394904,0.063097422,9,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,18.985069804915153,0.8269720995090161,15.70012303589591
PSL02,500,PSL02_05sa,Ai-ruu,91,28.98089172,0.065965124,10,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.210781820426885,0.6141369773014543,11.798051478794697
PSL02,600,PSL02_06sa,Ai-ruu,65,20.70063694,0.033655676,10,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,16.005502008031293,1.1205851889031884,17.935528491160106
PSL02,700,PSL02_07sa,Ai-ruu,92,29.29936306,0.067422873,11,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,19.32252861318455,0.5596880344216866,10.814588059570058
PSL02,800,PSL02_08sa,Ai-ruu,67,21.33757962,0.035758658,8,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,16.27595597360744,1.1268159824280786,18.340007320356623
PSL02,900,PSL02_09sa,Ai-ruu,77,24.52229299,0.047229468,8,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.563197084796414,0.8809158893779342,15.471699380273375
PSL03,100,PSL03_01sa,Ai-ruu,79,25.15923567,0.04971481,5,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.808795492519423,0.7623468546561056,13.576479228936014
PSL03,200,PSL03_02sa,Ai-ruu,80,25.47770701,0.050981379,9,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,17.93023222811602,1.5631675450987703,28.02795709507497
PSL03,300,PSL03_03sa,Ai-ruu,72,22.92993631,0.041294917,6,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,16.932487492503697,0.8353032409286406,14.143761679472009
PSL03,400,PSL03_04sa,Ai-ruu,70,22.29299363,0.039032618,10,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,16.67311987648009,1.3581012179035534,22.643784410499556
PSL03,500,PSL03_05sa,Ai-ruu,87,27.70700637,0.060293446,3,42,Black eucalyptus/ black gum tree,Eucalyptus obliquo,18.756318793339737,1.2101096357696135,22.697202103387106
PSL04,100,PSL04_01sa,Kulu,58,18.47133758,0.026797087,3,65,Bread fruit,Artocarpus communis,15.017119077704137,1.117351225714833,16.77939640817832
PSL04,200,PSL04_02sa,Ai-kakeu,92,29.29936306,0.067422873,9,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,19.319031610836397,1.4493867677900856,28.000748783264655
PSL04,300,PSL04_03sa,Samtuku,74,23.56687898,0.043620942,2,73,White siris,Albezia procera,17.18461768313539,1.6336142561151132,28.07303643305784
PSL04,400,PSL04_04sa,Ai-kakeu,61,19.42675159,0.029640892,2,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,15.447253358407618,0.7136391499755146,11.023764756150426
PSL04,500,PSL04_05sa,Samtuku,70,22.29299363,0.039032618,3,73,White siris,Albezia procera,16.67010236564979,1.1040687097645887,18.40493841048658
PSL05,100,PSL05_01sa,Mahoni,61,19.42675159,0.029640892,5,69,Mahagony,Swietenia macrophylla,15.447253358407618,0.7533764006424559,11.63759613496922
PSL05,200,PSL05_02sa,Ai-kakeu,92,29.29936306,0.067422873,7,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,19.319031610836397,1.084809086247258,20.957461028933324
PSL05,300,PSL05_03sa,Samtuku,74,23.56687898,0.043620942,3,73,White siris,Albezia procera,17.18461768313539,0.9280011368350845,15.947344746025937
PSL05,400,PSL05_04sa,Ai-kakeu,61,19.42675159,0.029640892,6,39,Casuarina Australian pine,Casuarina equisetifolia/  Casuarina junghuhniana,15.447253358407618,1.0346724890302872,15.982848081025073
